window_size,window_seconds,file_name,learning_rate,gamma,lambda,threshold_method,tau,val_loss,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
10,50,tranad_processed_tensors_w10.pt,0.002,0.3,0.7,Optimal_Val_F1,0.27523574233055115,0.2628310919473214,0.22676579925650558,0.8970588235294118,0.3620178041543027,0.7907437289130116,0.16257341811354015,0.5622254758418741,0.8421052631578947,0.6742756804214223,0.7576336071392353,0.5913821890218298
10,50,tranad_processed_tensors_w10.pt,0.002,0.5,0.5,Optimal_Val_F1,0.25826841592788696,0.2628310919473214,0.22676579925650558,0.8970588235294118,0.3620178041543027,0.7997286196274022,0.17391001937619255,0.5614814814814815,0.831140350877193,0.6702033598585323,0.7484205455836123,0.5818906138266168
10,50,tranad_processed_tensors_w10.pt,0.001,0.5,0.5,Optimal_Val_F1,0.22934792935848236,0.27016676031053066,0.22509225092250923,0.8970588235294118,0.35988200589970504,0.8166532198914478,0.19013999611406296,0.5608308605341247,0.8289473684210527,0.6690265486725664,0.7532121488692831,0.5877243237302971
10,50,tranad_processed_tensors_w10.pt,0.001,0.3,0.7,Optimal_Val_F1,0.23718826472759247,0.27016676031053066,0.22021660649819494,0.8970588235294118,0.3536231884057971,0.8122157840692386,0.18358237904607516,0.5601173020527859,0.8377192982456141,0.671353251318102,0.7577552986512525,0.5963650401030747
5,25,tranad_processed_tensors_w5.pt,0.001,0.7,0.3,Val_Mean_2Std,0.8442524522542953,0.21007394358249648,0.15555555555555556,0.10294117647058823,0.12389380530973451,0.8280035206102391,0.20932434351851098,0.7712418300653595,0.25877192982456143,0.38752052545155996,0.7246197140249468,0.5535579963344499
5,25,tranad_processed_tensors_w5.pt,0.001,0.7,0.3,Val_Percentile_95,0.8502502083778379,0.21007394358249648,0.13636363636363635,0.08823529411764706,0.10714285714285714,0.8280035206102391,0.20932434351851098,0.7712418300653595,0.25877192982456143,0.38752052545155996,0.7246197140249468,0.5535579963344499
5,25,tranad_processed_tensors_w5.pt,0.002,0.7,0.3,Val_Mean_2Std,0.8406387716531754,0.21584669261106423,0.13333333333333333,0.08823529411764706,0.10619469026548672,0.8253997359542321,0.20428866622696118,0.7763157894736842,0.25877192982456143,0.3881578947368421,0.7187404928506237,0.5452594219161533
5,25,tranad_processed_tensors_w5.pt,0.001,0.5,0.5,Val_Percentile_95,0.870367774367331,0.21007394358249648,0.11363636363636363,0.07352941176470588,0.08928571428571429,0.8275817808420127,0.20659803372324145,0.7712418300653595,0.25877192982456143,0.38752052545155996,0.7270079099482811,0.5561838725196913
5,25,tranad_processed_tensors_w5.pt,0.001,0.5,0.5,Val_Mean_2Std,0.8570073544979095,0.21007394358249648,0.11363636363636363,0.07352941176470588,0.08928571428571429,0.8275817808420127,0.20659803372324145,0.7712418300653595,0.25877192982456143,0.38752052545155996,0.7270079099482811,0.5561838725196913
5,25,tranad_processed_tensors_w5.pt,0.001,0.3,0.7,Val_Percentile_95,0.8896201878786083,0.21007394358249648,0.11363636363636363,0.07352941176470588,0.08928571428571429,0.8263899075839812,0.20368482394720472,0.7712418300653595,0.25877192982456143,0.38752052545155996,0.7280118649224216,0.5578878499908388
5,25,tranad_processed_tensors_w5.pt,0.002,0.7,0.3,Val_Percentile_95,0.851724836230278,0.21584669261106423,0.11363636363636363,0.07352941176470588,0.08928571428571429,0.8253997359542321,0.20428866622696118,0.7763157894736842,0.25877192982456143,0.3881578947368421,0.7187404928506237,0.5452594219161533
5,25,tranad_processed_tensors_w5.pt,0.002,0.5,0.5,Val_Mean_2Std,0.8722096532583237,0.21584669261106423,0.10869565217391304,0.07352941176470588,0.08771929824561403,0.8234744022297198,0.19844586102132553,0.7712418300653595,0.25877192982456143,0.38752052545155996,0.7183500659162357,0.5459894458285974
5,25,tranad_processed_tensors_w5.pt,0.001,0.3,0.7,Val_Mean_2Std,0.8703243136405945,0.21007394358249648,0.10638297872340426,0.07352941176470588,0.08695652173913043,0.8263899075839812,0.20368482394720472,0.7756410256410257,0.26535087719298245,0.3954248366013072,0.7280118649224216,0.5578878499908388
5,25,tranad_processed_tensors_w5.pt,0.002,0.3,0.7,Val_Mean_2Std,0.905033215880394,0.21584669261106423,0.10416666666666667,0.07352941176470588,0.08620689655172414,0.8211456652486432,0.19329145116810093,0.7662337662337663,0.25877192982456143,0.38688524590163936,0.7189458472771524,0.5469230402692516
15,75,tranad_processed_tensors_w15.pt,0.002,0.7,0.3,Val_Percentile_95,0.8758240878582,0.23933703139690415,0.06818181818181818,0.04411764705882353,0.05357142857142857,0.8284986064251136,0.1994671605290039,0.7712418300653595,0.25877192982456143,0.38752052545155996,0.7434210526315789,0.5706067633585141
5,25,tranad_processed_tensors_w5.pt,0.002,0.3,0.7,Val_Percentile_95,0.9446763038635254,0.21584669261106423,0.06818181818181818,0.04411764705882353,0.05357142857142857,0.8211456652486432,0.19329145116810093,0.7697368421052632,0.2565789473684211,0.3848684210526316,0.7189458472771524,0.5469230402692516
5,25,tranad_processed_tensors_w5.pt,0.002,0.5,0.5,Val_Percentile_95,0.9073581457138061,0.21584669261106423,0.06818181818181818,0.04411764705882353,0.05357142857142857,0.8234744022297198,0.19844586102132553,0.7748344370860927,0.2565789473684211,0.385502471169687,0.7183500659162357,0.5459894458285974
